@relation XYdata

@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class {1,2}

@data
-0.266027,1.036344,0.219614,1
-0.847894,0.119552,-0.068847,1
-0.95039,0.4006,0.126046,1
0.513361,0.851939,0.09356,1
-0.629365,0.959437,-0.090954,1
0.914349,0.379918,-0.099063,1
-1.064691,0.069207,-0.069766,1
0.257952,1.070646,0.053843,1
-0.822657,0.16793,0.198234,1
-0.929026,0.252746,0.168465,1
-0.557005,0.764069,-0.097522,1
1.034001,0.166899,-0.01352,1
-0.467056,0.800285,0.195743,1
0.91626,0.288181,-0.070029,1
1.019276,0.266692,0.030516,1
0.168352,0.89891,-0.060569,1
0.538089,0.699549,-0.054493,1
-0.465743,0.915098,-0.143567,1
0.468982,0.746338,-0.064111,1
-0.660801,0.899133,0.079003,1
0.766615,0.728163,-0.020592,1
0.228072,0.929663,0.010992,1
-1.004122,0.553318,0.136549,1
-0.238462,1.083081,-0.077626,1
0.891728,0.523995,-0.004042,1
-0.655504,0.665437,-0.130242,1
0.609067,0.775887,0.054168,1
-0.643185,0.91639,0.027048,1
-0.86807,0.310786,-0.090822,1
0.541445,0.913128,-0.005589,1
-0.281398,0.947479,0.021102,1
0.844053,0.791678,0.029929,1
-1.098073,0.460209,0.013252,1
1.046991,0.230635,0.087762,1
0.903626,0.485194,-0.136031,1
0.813092,0.398053,0.033778,1
0.646057,0.727641,0.204824,1
-0.32468,1.078936,0.007198,1
0.599393,0.758408,-0.09575,1
0.832478,0.47938,0.037374,1
-1.003431,0.209286,-0.114654,1
0.880938,0.404217,0.046729,1
-1.022332,0.386776,0.005783,1
-0.830638,0.64091,0.013884,1
0.859739,0.451837,-0.013783,1
1.013566,0.210676,0.029009,1
0.820203,0.813308,0.189454,1
-0.660019,0.62581,0.175494,1
-0.30504,1.031562,0.030506,1
-0.832472,0.423134,-0.079699,1
0.975622,0.016862,-0.110105,1
0.067425,1.089646,-0.140728,1
1.026891,0.017434,0.049686,1
0.051929,1.024851,0.168465,1
-0.661533,0.65575,0.019302,1
-0.56578,0.881899,-0.0278,1
-0.859819,0.157051,-0.083926,1
-0.575993,0.724701,-0.072944,1
-0.125809,0.852143,-0.050461,1
-0.187787,0.931131,-0.113574,1
-0.68163,0.70713,0.026693,1
0.559825,0.597992,-0.132256,1
0.91429,0.369951,-0.215241,1
-0.399913,0.836883,0.058417,1
0.003909,0.974959,0.031129,1
-0.315733,0.889832,-0.115551,1
0.216658,0.939685,0.078904,1
-1.041496,0.158116,0.033199,1
0.866999,0.186162,0.092646,1
-0.768579,0.553866,0.182788,1
0.276365,0.897756,-0.209642,1
0.876076,0.514249,0.088457,1
1.018013,0.310234,-0.011832,1
-0.470345,0.979027,-0.09201,1
-0.237123,1.031342,-0.156325,1
0.425242,-0.054631,0.086479,2
0.7438,-0.493924,-0.136771,2
0.973123,-0.462659,-0.101394,2
0.002962,0.07095,-0.067116,2
0.400436,-0.138652,-0.127362,2
1.064637,-0.632595,-0.096515,2
-0.094881,0.298111,0.05742,2
1.190874,-0.373791,0.212435,2
0.014272,0.320489,-0.040114,2
-0.110807,0.092728,0.043017,2
1.89714,0.701862,0.070704,2
0.734357,-0.722213,-0.033489,2
1.383947,-0.252556,0.036436,2
2.014516,0.564944,0.123846,2
0.134422,0.028515,0.171978,2
0.668017,-0.487498,-0.011283,2
2.067779,0.082731,0.118283,2
1.495475,-0.321033,0.026958,2
1.710972,-0.164317,0.015955,2
1.858814,0.182861,0.085947,2
1.420329,-0.19884,0.098741,2
1.438077,-0.533705,-0.012519,2
0.086833,0.180167,0.093446,2
0.626653,-0.58337,-0.081324,2
0.909938,-0.552219,0.043002,2
1.603325,-0.307167,-0.064429,2
1.509387,-0.263261,0.165047,2
0.237638,0.253433,-0.187227,2
0.47508,-0.311361,-0.042738,2
0.005698,0.167818,-0.072956,2
2.056755,-0.107688,0.084455,2
0.811708,-0.473758,0.141496,2
1.037429,-0.667482,0.175171,2
-0.014191,0.130413,-0.098224,2
1.56972,-0.350638,0.042487,2
0.266339,-0.210153,-0.232696,2
1.395632,-0.401829,0.018121,2
0.067677,0.225499,-0.143378,2
0.004134,0.023409,-0.014941,2
0.988132,-0.571008,-0.004446,2
0.150602,-0.05513,0.054225,2
0.247461,0.262768,-0.105446,2
1.982794,0.36469,-0.015125,2
0.266668,-0.195511,0.046778,2
2.012046,0.030094,0.133528,2
0.287698,-0.167838,-0.006566,2
1.877158,0.327322,-0.186702,2
1.906873,0.020824,-0.057295,2
-0.153408,0.527655,0.169045,2
1.527298,-0.529597,-0.034915,2
0.155336,0.027198,-0.110599,2
0.1331,0.28613,0.155502,2
1.749269,0.012795,-0.033779,2
1.898878,-0.004391,-0.072538,2
0.363713,-0.122527,-0.09353,2
1.058479,-0.23138,0.06124,2
1.661739,-0.133495,0.025582,2
1.47056,-0.387789,0.066027,2
-0.030691,0.248393,-0.103452,2
1.515707,-0.268456,-0.104448,2
-0.007738,-0.086809,-0.208132,2
0.302463,-0.196095,-0.047893,2
0.718917,-0.484356,-0.010656,2
2.002918,0.346655,0.034857,2
